,Day,Google Trends
555,2021-07-09,0
556,2021-07-10,0
557,2021-07-11,0
558,2021-07-12,0
559,2021-07-13,0
560,2021-07-14,0
561,2021-07-15,0
562,2021-07-16,0
563,2021-07-17,0
564,2021-07-18,0
565,2021-07-19,0
566,2021-07-20,0
567,2021-07-21,0
568,2021-07-22,0
569,2021-07-23,0
570,2021-07-24,0
571,2021-07-25,0
572,2021-07-26,0
573,2021-07-27,0
574,2021-07-28,0
575,2021-07-29,0
576,2021-07-30,0
577,2021-07-31,0
578,2021-08-01,0
579,2021-08-02,0
580,2021-08-03,0
581,2021-08-04,0
582,2021-08-05,75
583,2021-08-06,0
584,2021-08-07,0
585,2021-08-08,0
586,2021-08-09,0
587,2021-08-10,0
588,2021-08-11,0
589,2021-08-12,0
590,2021-08-13,0
591,2021-08-14,0
592,2021-08-15,0
593,2021-08-16,0
594,2021-08-17,0
595,2021-08-18,0
596,2021-08-19,0
597,2021-08-20,0
598,2021-08-21,0
599,2021-08-22,0
600,2021-08-23,0
601,2021-08-24,0
602,2021-08-25,0
603,2021-08-26,0
604,2021-08-27,0
605,2021-08-28,0
606,2021-08-29,0
607,2021-08-30,0
608,2021-08-31,62
609,2021-09-01,73
610,2021-09-02,0
611,2021-09-03,0
612,2021-09-04,0
613,2021-09-05,0
614,2021-09-06,0
615,2021-09-07,0
616,2021-09-08,0
617,2021-09-09,0
618,2021-09-10,0
619,2021-09-11,0
620,2021-09-12,0
621,2021-09-13,0
622,2021-09-14,61
623,2021-09-15,74
624,2021-09-16,75
625,2021-09-17,0
626,2021-09-18,0
627,2021-09-19,0
628,2021-09-20,67
629,2021-09-21,0
630,2021-09-22,0
631,2021-09-23,0
632,2021-09-24,0
633,2021-09-25,0
634,2021-09-26,0
635,2021-09-27,0
636,2021-09-28,0
637,2021-09-29,0
638,2021-09-30,0
639,2021-10-01,0
640,2021-10-02,0
641,2021-10-03,0
642,2021-10-04,0
643,2021-10-05,0
644,2021-10-06,0
645,2021-10-07,0
646,2021-10-08,0
647,2021-10-09,86
648,2021-10-10,0
649,2021-10-11,0
650,2021-10-12,0
651,2021-10-13,0
652,2021-10-14,0
653,2021-10-15,99
654,2021-10-16,0
655,2021-10-17,0
656,2021-10-18,63
657,2021-10-19,0
658,2021-10-20,0
659,2021-10-21,0
660,2021-10-22,0
661,2021-10-23,0
662,2021-10-24,0
663,2021-10-25,0
664,2021-10-26,0
665,2021-10-27,0
666,2021-10-28,0
667,2021-10-29,0
668,2021-10-30,0
669,2021-10-31,0
670,2021-11-01,0
671,2021-11-02,0
672,2021-11-03,0
673,2021-11-04,0
674,2021-11-05,0
675,2021-11-06,0
676,2021-11-07,0
677,2021-11-08,0
678,2021-11-09,0
679,2021-11-10,65
680,2021-11-11,0
681,2021-11-12,0
682,2021-11-13,0
683,2021-11-14,0
684,2021-11-15,0
685,2021-11-16,0
686,2021-11-17,0
687,2021-11-18,68
688,2021-11-19,0
689,2021-11-20,0
690,2021-11-21,0
691,2021-11-22,64
692,2021-11-23,0
693,2021-11-24,78
694,2021-11-25,0
695,2021-11-26,0
696,2021-11-27,87
697,2021-11-28,0
698,2021-11-29,0
699,2021-11-30,0
700,2021-12-01,0
701,2021-12-02,0
702,2021-12-03,0
703,2021-12-04,0
704,2021-12-05,0
705,2021-12-06,0
706,2021-12-07,0
707,2021-12-08,0
708,2021-12-09,0
709,2021-12-10,0
710,2021-12-11,0
711,2021-12-12,0
712,2021-12-13,0
713,2021-12-14,94
714,2021-12-15,0
715,2021-12-16,0
716,2021-12-17,71
717,2021-12-18,0
718,2021-12-19,0
719,2021-12-20,0
720,2021-12-21,90
721,2021-12-22,75
722,2021-12-23,0
723,2021-12-24,0
724,2021-12-25,0
725,2021-12-26,0
726,2021-12-27,0
727,2021-12-28,0
728,2021-12-29,100
729,2021-12-30,0
730,2021-12-31,0
731,2022-01-01,0
732,2022-01-02,0
733,2022-01-03,0
734,2022-01-04,83
735,2022-01-05,67
736,2022-01-06,0
737,2022-01-07,0
738,2022-01-08,0
739,2022-01-09,0
740,2022-01-10,0
741,2022-01-11,79
742,2022-01-12,0
743,2022-01-13,0
744,2022-01-14,0
745,2022-01-15,0
746,2022-01-16,0
747,2022-01-17,0
748,2022-01-18,0
749,2022-01-19,0
750,2022-01-20,0
751,2022-01-21,0
752,2022-01-22,0
753,2022-01-23,0
754,2022-01-24,0
755,2022-01-25,0
756,2022-01-26,0
757,2022-01-27,0
758,2022-01-28,0
759,2022-01-29,0
760,2022-01-30,0
761,2022-01-31,0
762,2022-02-01,0
763,2022-02-02,0
764,2022-02-03,0
765,2022-02-04,0
766,2022-02-05,82
767,2022-02-06,0
768,2022-02-07,0
769,2022-02-08,47
770,2022-02-09,43
771,2022-02-10,0
772,2022-02-11,64
773,2022-02-12,0
774,2022-02-13,0
775,2022-02-14,0
776,2022-02-15,41
777,2022-02-16,0
778,2022-02-17,0
779,2022-02-18,41
780,2022-02-19,0
781,2022-02-20,0
782,2022-02-21,41
783,2022-02-22,59
784,2022-02-23,47
785,2022-02-24,0
786,2022-02-25,0
787,2022-02-26,0
788,2022-02-27,49
789,2022-02-28,39
790,2022-03-01,43
791,2022-03-02,37
792,2022-03-03,51
793,2022-03-04,48
794,2022-03-05,54
795,2022-03-06,57
796,2022-03-07,43
797,2022-03-08,47
798,2022-03-09,52
799,2022-03-10,49
800,2022-03-11,42
801,2022-03-12,0
802,2022-03-13,0
803,2022-03-14,35
804,2022-03-15,41
805,2022-03-16,46
806,2022-03-17,36
807,2022-03-18,51
808,2022-03-19,0
809,2022-03-20,0
810,2022-03-21,40
811,2022-03-22,58
812,2022-03-23,43
813,2022-03-24,61
814,2022-03-25,55
815,2022-03-26,0
816,2022-03-27,0
817,2022-03-28,0
818,2022-03-29,41
819,2022-03-30,49
820,2022-03-31,40
821,2022-04-01,39
822,2022-04-02,60
823,2022-04-03,0
824,2022-04-04,50
825,2022-04-05,0
826,2022-04-06,44
827,2022-04-07,51
828,2022-04-08,0
829,2022-04-09,0
830,2022-04-10,44
831,2022-04-11,39
832,2022-04-12,45
833,2022-04-13,48
834,2022-04-14,0
835,2022-04-15,69
836,2022-04-16,54
837,2022-04-17,0
838,2022-04-18,0
839,2022-04-19,36
840,2022-04-20,64
841,2022-04-21,48
842,2022-04-22,47
843,2022-04-23,0
844,2022-04-24,68
845,2022-04-25,0
846,2022-04-26,39
847,2022-04-27,42
848,2022-04-28,62
849,2022-04-29,64
850,2022-04-30,0
851,2022-05-01,46
852,2022-05-02,0
853,2022-05-03,0
854,2022-05-04,45
855,2022-05-05,58
856,2022-05-06,0
857,2022-05-07,0
858,2022-05-08,0
859,2022-05-09,0
860,2022-05-10,69
861,2022-05-11,0
862,2022-05-12,70
863,2022-05-13,0
864,2022-05-14,57
865,2022-05-15,75
866,2022-05-16,39
867,2022-05-17,83
868,2022-05-18,52
869,2022-05-19,38
870,2022-05-20,0
871,2022-05-21,50
872,2022-05-22,0
873,2022-05-23,51
874,2022-05-24,48
875,2022-05-25,46
876,2022-05-26,43
877,2022-05-27,0
878,2022-05-28,49
879,2022-05-29,56
880,2022-05-30,0
881,2022-05-31,0
882,2022-06-01,62
883,2022-06-02,78
884,2022-06-03,0
885,2022-06-04,57
886,2022-06-05,0
887,2022-06-06,55
888,2022-06-07,52
889,2022-06-08,0
890,2022-06-09,0
891,2022-06-10,0
892,2022-06-11,0
893,2022-06-12,0
894,2022-06-13,75
895,2022-06-14,0
896,2022-06-15,61
897,2022-06-16,0
898,2022-06-17,0
899,2022-06-18,80
900,2022-06-19,0
901,2022-06-20,0
902,2022-06-21,0
903,2022-06-22,46
904,2022-06-23,55
905,2022-06-24,0
906,2022-06-25,0
907,2022-06-26,100
908,2022-06-27,0
909,2022-06-28,0
910,2022-06-29,0
911,2022-06-30,68
912,2022-07-01,0
913,2022-07-02,0
914,2022-07-03,0
915,2022-07-04,0
916,2022-07-05,60
917,2022-07-06,38
918,2022-07-07,0
