Date,Well-Milled High_train_residual
2020-03-26,-1.980701332969609
2020-03-27,-0.27916791927020057
2020-03-28,-0.0006657341268549999
2020-03-29,-0.25038034231673123
2020-03-30,-0.259345613580237
2020-03-31,0.13339393372567798
2020-04-01,0.989848880805674
2020-04-02,0.14558265243232427
2020-04-03,-0.10963254945072975
2020-04-04,0.13730078476214658
2020-04-05,-0.08410810926117307
2020-04-06,-0.09205714665193199
2020-04-07,0.25616448738364284
2020-04-08,-0.15241609972133574
2020-04-09,0.12951557234732292
2020-04-10,-0.09753306556019936
2020-04-11,0.1221477244876894
2020-04-12,-0.0748256040597397
2020-04-13,-0.081897354074556
2020-04-14,0.20748499322575498
2020-04-15,-0.15841244543276645
2020-04-16,0.09030182942743892
2020-04-17,-0.11463666742923806
2020-04-18,0.07891079665933631
2020-04-19,-0.09920030132984436
2020-04-20,-0.10791778367446625
2020-04-21,0.16821214939072604
2020-04-22,-0.15817107799990282
2020-04-23,0.06385464664811735
2020-04-24,-0.11933952115827395
2020-04-25,0.0536722221442858
2020-04-26,-0.10554098022576142
2020-04-27,-0.11333352260501783
2020-04-28,0.13349854685687035
2020-04-29,-0.15825485548892715
2020-04-30,0.04031019689886506
2020-05-01,0.08804462549414893
2020-05-02,0.056194566783915434
2020-05-03,-0.08636680155095888
2020-05-04,-0.09334433537075881
2020-05-05,0.12767199394542672
2020-05-06,-0.13356742359518847
2020-05-07,0.044279032754310776
2020-05-08,-0.12468963365387964
2020-05-09,0.03351955235602588
2020-05-10,-0.09430479173413886
2020-05-11,-0.10056103557982254
2020-05-12,0.09760812944090702
2020-05-13,-0.13662613464059348
2020-05-14,0.02287906629668157
2020-05-15,-0.12878800606458896
2020-05-16,0.013221305906554903
2020-05-17,-0.10151442857348769
2020-05-18,-0.10713006257068969
2020-05-19,0.07074751514071664
2020-05-20,-0.13950226569377833
2020-05-21,0.0036883976774078064
2020-05-22,-0.13256828576066226
2020-05-23,-0.004988069671966855
2020-05-24,-0.108065886158343
2020-05-25,-0.11311093418110119
2020-05-26,0.046693091957862976
2020-05-27,-0.14219390496328543
2020-05-28,-0.013550021398955892
2020-05-29,-0.1360489008338135
2020-05-30,-0.02135042796825104
2020-05-31,-0.11402050253177265
2020-06-01,0.05670064773492811
2020-06-02,0.0662118341392599
2020-06-03,-0.1011938599763269
2020-06-04,0.016863331445229335
2020-06-05,-0.09092053624749497
2020-06-06,0.014665369880511037
2020-06-07,-0.06628613527444571
2020-06-08,-0.08556209156289185
2020-06-09,0.059560547096793925
2020-06-10,-0.09102846557015454
2020-06-11,0.015176363325451803
2020-06-12,-0.08182505910015436
2020-06-13,0.013198280677180207
2020-06-14,-0.05965502581118898
2020-06-15,-0.07700266065219097
2020-06-16,0.053602249686640846
2020-06-17,-0.08192219142945589
2020-06-18,0.013663283181827524
2020-06-19,-0.07366711840469264
2020-06-20,0.011882414944253128
2020-06-21,-0.05370743264187183
2020-06-22,-0.06932551203993853
2020-06-23,0.0482581169805556
2020-06-24,-0.07375456666387237
2020-06-25,0.012304799733612981
2020-06-26,-0.06634270306677337
2020-06-27,0.010700995820457138
2020-06-28,-0.04836752588551718
2020-06-29,-0.0624327645748366
2020-06-30,0.043460013021459076
2020-07-01,0.02850931051014527
2020-07-02,0.022291837017505145
2020-07-03,-0.04855354937230061
2020-07-04,0.020847136246153752
2020-07-05,-0.03236157470745127
2020-07-06,-0.045031490903859606
2020-07-07,0.05035634059329652
2020-07-08,-0.058041965435549514
2020-07-09,0.020084426833506086
2020-07-10,-0.04374561904133856
